S. NO.,DISTRICT,SCHOOL LIST,DEPARTMENT,ADDRESS
3060,MIRZAPUR,JANTA INTER COLLEGE VAIRWA,secondary education,Municipality
3061,MIRZAPUR,ADARSH KANYA INTER COLLEGE SHIKHAD MIRZAPUR,secondary education,Municipality
3062,MIRZAPUR,COMPOSITE SCHOOL SEMARI,secondary education,Narayanpur
3063,MIRZAPUR,COMPOSITE SCHOOL KARSARA,secondary education,Rajgarh
3064,MIRZAPUR,COMPOSITE SCHOOL KACHHAWAN,Basic Education,Bhaisodbalaya Mountain Halia
3065,MIRZAPUR,COMPOSITE SCHOOL GODHANA,Basic Education,Chetganj (Kanya) Con
3066,MIRZAPUR,COMPOSITE SCHOOL KANAK SARI,Basic Education,Khaira Shekhar
3067,MIRZAPUR,COMPOSITE SCHOOL HAJEEPATTI,secondary education,Hill
3068,MIRZAPUR,COMPOSITE SCHOOL VIDYAPUR,secondary education,Sikhad
3069,MIRZAPUR,COMPOSITE SCHOOL RUDAULI,secondary education,Chunar
3070,MIRZAPUR,COMPOSITE SCHOOL PARSHURAMPUR,secondary education,Adalhat
3071,MIRZAPUR,COMPOSITE SCHOOL MAWAIYA,secondary education,Lalganj
3072,MIRZAPUR,50,,
3073,MORADABAD,RAJKIYA INTER COLLEGE MORADABAD,Basic Education,City Area Moradabad
3074,MORADABAD,RAJKIYA KANYA INTER COLLEGE LINEPAR,Basic Education,City Area Moradabad
3075,MORADABAD,"RAJKIYA INTER COLLEGE, MUNDAPANDEY",Basic Education,City Area Moradabad
3076,MORADABAD,RAJKIYA UCCH MADHYAMIK VIDHYALAY LAXMIPUR KATAI,Basic Education,City Area Moradabad
3077,MORADABAD,RAJKIYA INTER COLLEGE ADALPUR,Basic Education,City Area Moradabad
3078,MORADABAD,SHIVHARI RAJKIYA COLLEGE INTER COLLEGE THAKURDWAR,Basic Education,City Area Moradabad
3079,MORADABAD,RAJKIYA INTER COLLEGE THAKURDWAR,Basic Education,City Area Moradabad
3080,MORADABAD,RAJKIYA INTER COLLEGE BHOJPUR,Basic Education,sherpur moradabad
3081,MORADABAD,RAJKIYA UCCH MADHYAMIK VIDHYALAY BAHORANPUR,Basic Education,Village Raibhud Thakurdwara
3082,MORADABAD,RAJKIYA INTER COLLEGE NAGLIYA JATT,Basic Education,Village Balia Thakurdwara
3083,MORADABAD,RAJKIYA INTER COLLEGE PAKBADA,Basic Education,Village Lalapur Peepalsanas Thakurdwara
3084,MORADABAD,RAJKIYA KANYA INTER COLLEGE KUNDARKI,Basic Education,Village Lalapur Peepalsanas Thakurdwara
3085,MORADABAD,RAJKIYA UCCH MADHYAMIK VIDHYALY NAGLIYA MASKULA,Basic Education,Village Chakarpur Puranpur Bhagatpur Tanda
3086,MORADABAD,RAJKIYA UCCH MADHYAMIK HAUSAINPUR CHIRAWALI,Basic Education,Village Sehal Bhagatpur Tanda
3087,MORADABAD,RAJKIYA UCCH MADHYAMIK VIDHYALAY KUCHAWALI,Basic Education,Village Badhapura Majhra Maheshpuru Bhagatpur Tanda
3088,MORADABAD,RAJKIYA UCCH MADHYAMIK VIDHYALAY CHANGERI,Basic Education,Village Sirsavu Gaudu Bhagatpur Tanda
3089,MORADABAD,RAJKIYA INTER COLLEGE MAANPUR MUZAFFARNAGAR,Basic Education,Village Bagraua Bilari
3090,MORADABAD,RAJKIYA INTER COLLEGE SALEMPUR,Basic Education,Village Milk Naglia Jat Bilari
3091,MORADABAD,PT. DEEN DAYAL UPADHAYAY INTER COLLEGE JATTPURA,Basic Education,Village Mustafapur Dilari
3092,MORADABAD,"HEWIT MUSLIM INTER COLLEGE, MORADABAD",Basic Education,Village Kumriya Jubla Dilari
3093,MORADABAD,"G G HINDU INTER COLLEGE , MORADABAD",Basic Education,Village Ahmedpur Anandpur Dilari
3094,MORADABAD,"MAHARAJA AGRASEN INTER COLLEGE, MORADABAD",Basic Education,Village Aliabad Dilari
3095,MORADABAD,"K J K INTER COLLEGE, MORADABAD",Basic Education,Village Adampur Dilari
3096,MORADABAD,"S S INTER COLLEGE, MORADABAD",Basic Education,Village Salem Sarai Dilari
3097,MORADABAD,"CHITRAGUPT INTER COLLEGE, MORADABAD",Basic Education,Municipal Council Dhakia Dilari
3098,MORADABAD,"H S B INTER COLLEGE, MORADABAD",Basic Education,Village Qazipur Dilari
3099,MORADABAD,"R N INTER COLLEGE, MORADABAD",Basic Education,Gram Panchayat Pakbada Moradabad
3100,MORADABAD,"MORADBAD INTER COLLEGE, MORDABAD",Basic Education,Village Mangupura Moradabad
3101,MORADABAD,"AMBIKA PRASAD INTER COLLEGE, MORADABAD",Basic Education,Village Milk Bahlolpur Moradabad
3102,MORADABAD,"KISAN INTER COLLEGE, JAHANGIRPUR",Basic Education,Village Mangupura Moradabad
3103,MORADABAD,SARVODYA INTER COLLEGE DILARI,Basic Education,Village Milk Bahlolpur Moradabad
3104,MORADABAD,MUSLIM INTER COLLEGE THAKURDWAR,Basic Education,Village Panchayat Pakbada Moradabad
3105,MORADABAD,"GANDHI SMARK INTER COLLEGE, SURJNAGAR",Basic Education,Village Mora Milk Moradabad
3106,MORADABAD,R R INTER COLLEGE BILARI,Basic Education,Village Malipur Kundarki
3107,MORADABAD,R P VIDHYALAY MADHYAMIK INTER COLLEGE SAYONDARA,Basic Education,Village Bhandari Kundarki
3108,MORADABAD,J L M INTER COLLEGE KUNDARKI,secondary education,Civil Lines Mura0
3109,MORADABAD,D S M INTER COLLEGE KANTH,secondary education,Civil Lines Mura0
3110,MORADABAD,"METHODIST KANYA INTER COLLEGE, MORADABAD",secondary education,Station Road Mura0
3111,MORADABAD,"PRATAP SINGH KANYA INTER COLLEGE, MORADABAD",secondary education,Company Bang Mura0
3112,MORADABAD,"LAXMI NARAYAN KANYA INTER COLLEGE, MORADABAD",secondary education,Station Road Mura0
3113,MORADABAD,PRATHMIK VIDHYALAY DANDI DURJAN,secondary education,Station Road Mura0
3114,MORADABAD,UCCH PRATHMIK VIDHYALAY SAHASPUR PRATHAM,secondary education,Station Road Mura0
3115,MORADABAD,COMPOSITE VIDHYALAY AKBARPUR CHANDERI,secondary education,Diwan's Market Mura0
3116,MORADABAD,COMPOSITE VIDHYALAY GAKHARPUR,secondary education,Yellow box Mura0
3117,MORADABAD,PRATHMIK VIDHYALAY JATPURA,secondary education,Station Road Mura0
3118,MORADABAD,PRATHMIK VIDHYALAY NANPUR,secondary education,Railway Harthala Colony
3119,MORADABAD,COMPOSITE VIDHYALAY MANGUPURA,secondary education,Deputy Ganj Mura0
3120,MORADABAD,PRATHMIK VIDYALAY SIHORA BAAJE,secondary education,Kot Road Mura0
3121,MORADABAD,COMPOSITE VIDHYALAY RAMNAGAR KHAGUWALA,secondary education,Katghar Mura0
3122,MORADABAD,COMPOSITE VIDHYALAY KASHIRAM NAGAR,secondary education,Linepar Moradabad
3123,MORADABAD,50,,
3124,MUZAFFARNAGAR,"RAJKIYA KANYA INTER COLLEGE, BHAISI MUZZAFFAR NAGAR",Basic Education,gramsalempur
3125,MUZAFFARNAGAR,"RAJKIYA INTER COLLEGE, MUZZAFFAR NAGAR",Basic Education,Karwa Charthaval
3126,MUZAFFARNAGAR,"RAJKIYA K INTER COLLEGE SISAULI,MUZZAFFAR NAGAR",Basic Education,Grambannagar
3127,MUZAFFARNAGAR,"PT D D U RAJKIYA INTER COLLEGE, BADHAI KALA",Basic Education,olden days
3128,MUZAFFARNAGAR,"PT D D U RAJKIYA INTER COLLEGE, KASAMPUR KHALA",Basic Education,VillageShahdabbar
3129,MUZAFFARNAGAR,"PT D D U RAJKIYA INTER COLLEGE, KHAIKHEDI",Basic Education,grammadinpur
3130,MUZAFFARNAGAR,"PT D D U RAJKIYA INTER COLLEGE, BITAWADA",Basic Education,town of Shahpur
3131,MUZAFFARNAGAR,"PT D D U RAJKIYA INTER COLLEGE, SIKANDARPUR",Basic Education,town sicily
3132,MUZAFFARNAGAR,"RAJKIYA INTER COLLEGE, SAFIPUR PATTI",Basic Education,town sisauli
3133,MUZAFFARNAGAR,"RAJKIYA INTER COLLEGE, GADHI SHEKHAWATPUR",Basic Education,Gramanawala
3134,MUZAFFARNAGAR,"DEEN MO. RAJKIYA INTER COLLEGE, KAMDEHA",Basic Education,grannawala
3135,MUZAFFARNAGAR,"RAJKIYA INTER COLLEGE,JAULI MAURANA",Basic Education,Jatt Meida
3136,MUZAFFARNAGAR,"RAJKIYA INTER COLLEGE, PURKAJI",Basic Education,East Municipal Area
3137,MUZAFFARNAGAR,"RAJKIYA INTER COLLEGE, BUDHINA KHURD",Basic Education,Near Hanuman Chowk Gaushala Road
3138,MUZAFFARNAGAR,"RAJKIYA INTER COLLEGE, BIRAL BUDHANA",Basic Education,village buffalo
3139,MUZAFFARNAGAR,"RAJKIYA INTER COLLEGE, MEHLAKI",Basic Education,Gramatittavi
3140,MUZAFFARNAGAR,"RAJKIYA INTER COLLEGE, MATHURA",Basic Education,Grammuradpura
3141,MUZAFFARNAGAR,"D A V INTER COLLEGE, MUZZAFFAR NAGAR",Basic Education,Gramamaharajnagar Block
3142,MUZAFFARNAGAR,"CHAUDHARI CHOTU RAM INTER COLLEGE, MUZZAFFAR NAGAR",Basic Education,Grammajlispur Tofeer
3143,MUZAFFARNAGAR,"DEEP CHNDRA GRAIN CHAMBER INTER COLLEGE, MUZZAFFAR NAGAR",Basic Education,bahadurpur
3144,MUZAFFARNAGAR,"JAIN KANYA INTER COLLEGE, NAI MANDI",Basic Education,Kasbashahpur
3145,MUZAFFARNAGAR,"VAIDIK PUTRI INTER COLLEGE, NAI MANDI",Basic Education,Kasbashahpur
3146,MUZAFFARNAGAR,"BARLA INTER COLLEGE, BARLA",Basic Education,Village Khaidi Tagan
3147,MUZAFFARNAGAR,"JAI HIND INTER COLLEGE, CHARYAWAL",Basic Education,Village Raipur Nagli
3148,MUZAFFARNAGAR,"JAI BHARAT INTER COLLEGE, CHAPAR",Basic Education,VillageMujahidpur
3149,MUZAFFARNAGAR,"D A V INTER COLLEGE, JAANSATH",Basic Education,Grass Market
3150,MUZAFFARNAGAR,"KALYAN KARI INTER COLLEGE, BAGHRA",Basic Education,Kasampura
3151,MUZAFFARNAGAR,"D A V INTER COLLEGE, BUDHANA",Basic Education,Bhopa
3152,MUZAFFARNAGAR,"INTER COLLEGE, BHOKARE HEDI",Basic Education,Bihargarh
3153,MUZAFFARNAGAR,"K K JAIN INTER COLLEGE, KHATAULI",Basic Education,Syali
3154,MUZAFFARNAGAR,"SEETA SARAN INTER COLLEGE, KHATAULI",Basic Education,Hussainpur Khadar
3155,MUZAFFARNAGAR,"PIKET INTER COLLEGE, KHATAULI",Basic Education,Jalalpur Blue
3156,MUZAFFARNAGAR,"SHRI DEVI MANDIR K INTER COLLEGE, MU NAGAR",Basic Education,Village Asadnagar
3157,MUZAFFARNAGAR,"KISAN INTER COLLEGE, KHARAD",Basic Education,viral
3158,MUZAFFARNAGAR,"S D INTER COLLEGE, MEERAPUR",Basic Education,Haibatpur
3159,MUZAFFARNAGAR,"BHARTIYA INTER COLLEGE, NAGALA MANDAUD",secondary education,Bhaisi Muzaffarnagar
3160,MUZAFFARNAGAR,"MODERN INTER COLLEGE, RAMRAJ",secondary education,Circular Rose Mahavir Chowk M.Nagar
3161,MUZAFFARNAGAR,"J L N INTER COLLEGERAWAPUR, SATEDHI",secondary education,Sisauli Muzaffarnagar
3162,MUZAFFARNAGAR,"RASTRIYA INTER COLLEGE, SHAHPUR",secondary education,Purkaji Muzaffarnagar
3163,MUZAFFARNAGAR,"GOMTI KANYA INTER COLLEGE, JANSATH",secondary education,Mehlaki Muzaffarnagar
3164,MUZAFFARNAGAR,"UCHH PRIMARY VIDYALAY, SIKHEDA",secondary education,Muzaffarnagar
3165,MUZAFFARNAGAR,"UCHH PRIMARY VIDYALAY, BHOPA",secondary education,Muzaffarnagar
3166,MUZAFFARNAGAR,"UCHH PRIMARY VIDYALAY, PURKAJI",secondary education,New Mandi Muzaffarnagar
3167,MUZAFFARNAGAR,"UCHH PRIMARY VIDYALAY, BILASPUR",secondary education,New Mandi Muzaffarnagar
3168,MUZAFFARNAGAR,"UCHH PRIMARY VIDDYALAY, JADAUDA",secondary education,Charthaval Muzaffarnagar
3169,MUZAFFARNAGAR,"UCHH PRIMARY VIDYALAY, BHAISI",secondary education,Jansath Muzaffarnagar
3170,MUZAFFARNAGAR,"UCHH PRIMARY VIDYALAY, GOKALPUR",secondary education,Budhana Muzaffarnagar
3171,MUZAFFARNAGAR,"UCHH PRIMARY VIDYALAY, BUDHANA",secondary education,Muzaffarnagar
3172,MUZAFFARNAGAR,"UCHH PRIMARY VIDYALAY, TITAWI",secondary education,Mirapur Muzaffarnagar
3173,MUZAFFARNAGAR,"UCHH PRIMARY VIDYALAY, KHUSAROPUR",secondary education,Ram Raj Muzaffarnagar
3174,MUZAFFARNAGAR,PANCHMUKHI KANYA COMPOSITE VIDYALAY,,
3175,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY SARVAT,,
3176,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY MAHAVEER CHAUK,,
3177,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY KHAJAPUR,,
3178,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY NYAMU,,
3179,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY KAKDA,,
3180,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY SHORO,,
3181,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY BASDHADA,,
3182,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY SANJHAK,,
3183,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY TAVALI,,
3184,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY PEENANA,,
3185,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY MAANDI,,
3186,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY HARSAULI,,
3187,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY BAGHARA,,
3188,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY NAVALA,,
3189,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY FULAT,,
3190,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY ATAVADA,,
3191,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY BEGRAJPUR,,
3192,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY MATHURA,,
3193,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY AMBARPUR,,
3194,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY NYAJIPURA,,
3195,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY MIMLANA,,
3196,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY SUJADU,,
3197,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY VAHALANA,,
3198,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY LUHARI KHURD,,
3199,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY NIRDHANA,,
3200,MUZAFFARNAGAR,UCHH PRATHAMIK VIDYALAY ALMASPUR,,
3201,MUZAFFARNAGAR,77,,
3202,PILIBHIT,"AZAD U M VIDYALAY, MEERPUR , VAHANPUR",Basic Education,Bahrua
3203,PILIBHIT,"CHATRAPATI SHIVAJI U M VIDYALAY, JOGITHER",Basic Education,Pareva Vaishya
3204,PILIBHIT,"PT. DEV DATT IN TER COLLEGE, WARKHEDA",Basic Education,Phuliya
3205,PILIBHIT,"JANTA TECHNICAL INTER COLLEGE, BISALPUR",Basic Education,Pinira Vamanpuri
3206,PILIBHIT,"GANDHI SMARAK SUNDR LAL INTER COLLEGE, BISLANDA",Basic Education,azaan
3207,PILIBHIT,"S K J P KANYA INTER COLLEGE, BISALPUR",Basic Education,Badhra
3208,PILIBHIT,"SARDAR BALLABH BHAI PATEL INTER COLLEGE, AMRITA KHAS",Basic Education,Bella Dandy
3209,PILIBHIT,"S R M INTER COLLEGE, BISALPUR",Basic Education,Bassenga
3210,PILIBHIT,"RAM DULARI SHYAM INTER COLLEGE, BISALPUR",Basic Education,Gopalpur
3211,PILIBHIT,"SARDAR BALLABH PATEL U M VIDDYALAY, AMRAROD",Basic Education,Heerpur
3212,PILIBHIT,"SANATAN DHARM BAKE LAL BIHARI RAM INTER COLLEGE, PILIBHIT",Basic Education,Azampur Barkhera
3213,PILIBHIT,"S N INTER COLLEGE, PILIBHIT",Basic Education,Akholi
3214,PILIBHIT,"NEHARU U M VIDDYALAY, LALAURIKHEDA",Basic Education,Amraroad
3215,PILIBHIT,"ARYA KANYA INTER COLLEGE, PILIBHIT",Basic Education,amrita special
3216,PILIBHIT,"JAHANABAD INTER COLLEGE, JAHANABAD",Basic Education,Bhadra
3217,PILIBHIT,"C AND J UCHH MADHYAMIK VIDDYALAY , KALINAGAR",Basic Education,Sarifganj
3218,PILIBHIT,"GURU NANAK  INTER COLLEGE , POORANPUR",Basic Education,Sarori
3219,PILIBHIT,"NEHARU INTER COLLEGE, MAJHOLA, GULDIYA",Basic Education,Ganeshpur Goria
3220,PILIBHIT,"LAL BAHADUR SHASTRI INTER COLLEGE, CHADIYA HAZARA",Basic Education,bithora kalan
3221,PILIBHIT,"PAUBLIC INTER COLLEGE, POORANPUR",Basic Education,wide field
3222,PILIBHIT,"SEVA RAM NATHHU LAL INTER COLLEGE, JOGRAJPUR",Basic Education,Pinira Vamanpuri
3223,PILIBHIT,"GURU NANAK U M VIDDYALAY, KARNAPUR, SHAHGADH",Basic Education,Pareva Vaishya
3224,PILIBHIT,"RAJKIYA HIGH SCHOOL, MAHOF, KALAINI",Basic Education,Ramnagar
3225,PILIBHIT,"RAJKIYA HIGH SCHOOL , BOONDI BHUD",Basic Education,half cut
3226,PILIBHIT,"RAJKIYA HIGH SCHOOL, EET GAO",Basic Education,rampur amrit
3227,PILIBHIT,"RAJKIYA HIGH SCHOOL, KHIDKIYA VARAGDIYA",Basic Education,Badharpura Marori
3228,PILIBHIT,"RAJKIYA HIGH SCHOOL, JAMUNIYA MAHUA",Basic Education,Ladpur
3229,PILIBHIT,"RAJKIYA HIGH SCHOOL, MURAINA GAURI",Basic Education,amrita special
3230,PILIBHIT,"RAJKIYA HIGH SCHOOL, KHANKA",Basic Education,Patti Siabari
3231,PILIBHIT,"RAJKIYA HIGH SCHOOL, AAMDAR",Basic Education,umarsad
3232,PILIBHIT,"RAJKIYA HIGH SCHOOL, JAMUNIYA MARAURI",Basic Education,Vahanpur
3233,PILIBHIT,"RAJKIYA HIGH SCHOOL, TODARPUR",Basic Education,bithora kalan
3234,PILIBHIT,"RAJKIYA HIGH SCHOOL, ELABAS, SIMARA",Basic Education,Sherpur Art
3235,PILIBHIT,"RAJKIYA HIGH SCHOOL, LOOHICHA",Basic Education,Shivnagar
3236,PILIBHIT,"RAJKIYA HIGH SCHOOL, PAINIYA RAM KISHAN",Basic Education,Tanda Gulabrai
3237,PILIBHIT,"RAJKIYA HIGH SCHOOL, DEVRANIYA",secondary education,Sadar Pilibhit
3238,PILIBHIT,"PT. D D U RAJKIYA MAODEL INTER COLLEGE, BADHEPURA, AMARIYA",secondary education,Kalinagar
3239,PILIBHIT,"PT. D D U RAJKIYA MAODEL INTER COLLEGE, RAM NAGAR JAGAT, BARKHEDA",secondary education,Puranpur
3240,PILIBHIT,"PT. D D U RAJKIYA MAODEL INTER COLLEGE, MARAURI KHAS, BILSANDA",secondary education,Khidkiya Bargadia
3241,PILIBHIT,"PT. D D U RAJKIYA MAODEL INTER COLLEGE, KHAMRIYAPUL, LALAURIKHERA",secondary education,Kalinagar
3242,PILIBHIT,"PRATHAMIK VIDYALAY, MAHADEVA",secondary education,Puranpur
3243,PILIBHIT,"PRATHAMIK VIDYALAY, RAMPURA NATHHU",secondary education,Puranpur
3244,PILIBHIT,"PRATHAMIK VIDYALAY, DESH NAGAR ALIGANJ",secondary education,Sadar Pilibhit
3245,PILIBHIT,"PRATHAMIK VIDYALAY, SAIDPUR",secondary education,Puranpur
3246,PILIBHIT,"PRATHAMIK VIDYALAY, BAKAINIYA",secondary education,Sadar Pilibhit
3247,PILIBHIT,"MODEL PRATHAMIK VIDYALAY, KHASPUR",secondary education,Sadar Pilibhit
3248,PILIBHIT,"PRATHAMIK VIDYALAY, CHOKHAPURI",secondary education,Visalpur
3249,PILIBHIT,"PRATHAMIK VIDYALAY, BARATBOJH",secondary education,Visalpur
3250,PILIBHIT,"PRATHAMIK VIDYALAY, DHANKUNI",secondary education,Cleanger
3251,PILIBHIT,"PRATHAMIK VIDYALAY, ROOP PUR KAMALU",secondary education,Visalpur
3252,PILIBHIT,PURVA MADHYAMIK VIDYALAY AMARIA,,
3253,PILIBHIT,KANYA PURVA MADHYAMIK VIDYALAY AMARIA,,
3254,PILIBHIT,PURVA MADHYAMIK VIDYALAY TUMDIA,,
3255,PILIBHIT,PURVA MADHYAMIK VIDYALAY MUGLA KHEDA,,
3256,PILIBHIT,U P S BARKHEDA,,
3257,PILIBHIT,U P S BARGADA,,
3258,PILIBHIT,U P S MACHVAKHEDA,,
3259,PILIBHIT,U P S GHAZIPUR KUNDA,,
3260,PILIBHIT,MARENA,,
3261,PILIBHIT,RATH,,
3262,PILIBHIT,KALYANPUR,,
3263,PILIBHIT,KARELI,,
3264,PILIBHIT,SIMRA AKBARGANJ,,
3265,PILIBHIT,U P S CHANDPURA,,
3266,PILIBHIT,U P S SABEPUR,,
3267,PILIBHIT,U P S GANGUPUR,,
3268,PILIBHIT,PURVA MADHYAMIK VIDYALAY SARAURI,,
3269,PILIBHIT,PURVA MADHYAMIK VIDYALAY SARAURA,,
3270,PILIBHIT,PURVA MADHYAMIK VIDYALAY BHANDANDI,,
3271,PILIBHIT,PURVA MADHYAMIK VIDYALAY KANJANATH PATTI,,
3272,PILIBHIT,U P S KHARAUSA,,
3273,PILIBHIT,U P S KHAG,,
3274,PILIBHIT,U P S BAHANPUR,,
3275,PILIBHIT,U P S BALDEVPUR CHATDANG,,
3276,PILIBHIT,U P S BASTHANA,,
3277,PILIBHIT,PURVA MADHYAMIK VIDYALAY SHAHGARH,,
3278,PILIBHIT,PURVA MADHYAMIK VIDYALAY KALINAGAR K,,
3279,PILIBHIT,PURVA MADHYAMIK VIDYALAY DHARMAPUR,,
3280,PILIBHIT,PURVA MADHYAMIK VIDYALAY DHARMANGADPUR,,
3281,PILIBHIT,PURVA MADHYAMIK VIDYALAY DHURIA PALIA,,
3282,PILIBHIT,80,,
3283,PRATAPGARH,"RAJKIYA INTER COLLEGE, PRATAPGARH",Basic Education,Gram Sabha/Postkatiya Nevada Justice Panchayat Chhemrasaraiya Laxmanpur
3284,PRATAPGARH,"RAJKIYA BALIKA INTER COLLEGE, PRATAPGARH",Basic Education,Gram SabhaTilauriPostSangarasunderpur Nyay Panchayat Sangrasunderpur Laxmanpur
3285,PRATAPGARH,"RAJKIYA BALIKA INTER COLLEGE, KHARWAI, PRATAPGARH",Basic Education,Gram SabhaDadupur Padan Post Sahebganj Nyaya Panchayat Chemrasaraiya Laxmanpur
3286,PRATAPGARH,"RAJKIYA INTER COLLEGE, SHEKHPUR, PRATAPGARH",Basic Education,Gram SabhaDevliPostSahabganj Nyay PanchayatChemarsaraiya Laxmanpur
3287,PRATAPGARH,"RAJKIYA INTER COLLEGE, PURABGAO, PRATAPGARH",Basic Education,Patti Pratapgarh
3288,PRATAPGARH,"RAJKIYA BALIKA INTER COLLEGE, SANGIPUR, PRATAPGARH",Basic Education,Pratapgarh
3289,PRATAPGARH,"RAJKIYA BALIKA INTER COLLEGE, SHITALMAU, PRATAPGARH",Basic Education,Basauli Patti Pratapgarh
3290,PRATAPGARH,"RAJKIYA BALIKA INTER COLLEGE, BIHAR, PRATAPGARH",Basic Education,Narangpur Patti Pratapgarh
3291,PRATAPGARH,"RAJKIYA BALIKA INTER COLLEGE, MANIKPUR, PRATAPGARH",Basic Education,Mahadha Patti Pratapgarh
3292,PRATAPGARH,"RAJKIYA BALIKA INTER COLLEGE, PATTI, PRATAPGARH",Basic Education,Lakhanipur Pratapgarh
3293,PRATAPGARH,"PT. DEEN DAYAL UPADDHYAY RAJKIYA MODEL INTER COLLEGE, KUDADEEH SHIVGARH, PRATAPGARH",Basic Education,Ramgarh Banohi Bihar Pratapgarh
3294,PRATAPGARH,"PT. DEEN DAYAL UPADDHYAY RAJKIYA MODEL INTER COLLEGE, MAHULI AASPUR DEVSARA, PRATAPGARH",Basic Education,dhanvasa bihar
3295,PRATAPGARH,"PT. DEEN DAYAL UPADDHYAY RAJKIYA MODEL INTER COLLEGE, MAHEVA MALKIYA BABAGAJ, PRATAPGAH",Basic Education,Deori Hardopatti Bihar
3296,PRATAPGARH,"PT. DEEN DAYAL UPADDHYAY RAJKIYA MODEL INTER COLLEGE, MURASSAPUR KALANKAAR, PRATAPGARH",Basic Education,Tiwari Mahmadpur Bihar
3297,PRATAPGARH,"RAJKIYA BALIKA INTER COLLEGE, BARHADA, PRATAPGARH",Basic Education,Bedhangopalpur Bihar
3298,PRATAPGARH,"RAJKIYA INTER COLLEGE, CHANDIGOVINDPUR, PRATAPGARH",Basic Education,mohaddinagar balipur
3299,PRATAPGARH,"CHANDRABHUSAN SHAHJI MAHRAJ RAJKIYA KANYA INTER COLLEGE, AASPUR, DEVSARA, PRTAPGARH",Basic Education,Lauwa Sukhdevpur
3300,PRATAPGARH,"INTER COLLEGE, MANDHATA, PRATAPGARH",Basic Education,Banemou Benti
3301,PRATAPGARH,"GRAM VIKAS INTER COLLEGE, DELHUPUR PRATAPGARH",Basic Education,chaikaparpur
3302,PRATAPGARH,"RAJARSHI TANDAN INTER COLLEGE, RAMNAGAR ATHGAWAN, PRATAPGARH",Basic Education,Bahrapur Mandhata
3303,PRATAPGARH,"AVDHESH VIDYA NIKETAN INTER COLLEGE, SHITALMAU, PRATAPGARH",Basic Education,Village Sarauli P.O. Katari
3304,PRATAPGARH,"RANI GIRIJA DEVI BALIKA INTER COLLEGE, KUNDA, PRATAPGARH",Basic Education,Village Parasrampur P.O. Makunpur
3305,PRATAPGARH,"K P HINDU INTER COLLEGE, PRTAPGARH",Basic Education,Village Sarua PO Khajuri
3306,PRATAPGARH,"LOKMANYA TILAK INTER COLLEGE, PRATAPGARH",Basic Education,Antu countryside
3307,PRATAPGARH,"P B INTER COLLEGE, PRATAPGARH CITY, PRATAPGARH",Basic Education,samapur lalganj
3308,PRATAPGARH,"BRIJENDRAMANI, INTER COLLEGE, KOHDAUR, PRATAPGARH",Basic Education,Gramsetapur PostAmargarh
3309,PRATAPGARH,"RAMRAJ INTER COLLEGE, PATTI, PRATAPGARH",Basic Education,Kasba Postsangramgarh
3310,PRATAPGARH,"MAHADEV INTER COLLEGE, MHADEVNAGAR, PRATAPGARH",Basic Education,Shripur Chaiharjan
3311,PRATAPGARH,"SHITALA PRASHAD INTER COLLEGE, GADVARA, PRATAPGARH",Basic Education,Newadakala Sadar
3312,PRATAPGARH,"BENIMADAV INTER COLLEGE, BENIMADAV NAGAR, SILAUNDHI, PRATAPGARH",Basic Education,Garhi Samadabad Chaikaparpur Kunda
3313,PRATAPGARH,"BAPU INTER COLLEGE, REHUA LALGANJ, PRATAPGARH",Basic Education,Sabalgarh PO Derwa
3314,PRATAPGARH,"RAMANJOR MISHRA INTER COLLEGE, LALGANJ, PRATAPGARH",Basic Education,Village Basirpur Baba Belkharnath Dham
3315,PRATAPGARH,"SHUKHPATIRAM INTER COLLEGE SAHAB GANJ, PRATAPGARH",Basic Education,Village Lokapur Bharatgarh
